Time QueueLength
739.598356903 5
739.951743863 4
740.222022202 3
740.822516466 2
740.856893815 3
741.189698784 4
741.964277417 3
742.541796067 4
742.626874078 5
742.878935735 6
743.138582962 5
744.344496391 6
745.741032311 7
745.982363017 8
746.00532997 9
746.313795058 8
746.85886397 7
747.17453587 6
747.594849914 7
748.304177832 6
749.279194486 5
749.602567105 6
750.282562428 7
750.283474653 6
750.815926121 5
751.588494729 4
751.696366633 3
751.717937482 4
752.353823789 5
752.662382531 6
752.719002706 5
753.505670241 4
753.772653932 5
753.86402201 6
753.918986805 7
754.625099418 8
754.970363043 7
755.084180794 8
756.800974902 9
756.893130612 8
758.677650783 9
759.174854542 8
759.375724241 7
760.184155327 6
760.941159921 5
760.947782871 6
761.373433739 5
761.641740723 4
761.793550521 3
762.06502632 2
762.3833876 3
763.682295825 2
764.303010033 3
765.32771477 4
765.706404999 3
766.891083822 4
767.378746727 5
767.579163545 6
767.991984341 7
768.173046193 8
769.550839013 7
770.446627461 6
770.808611396 7
772.773089135 8
773.036892378 9
773.339735628 8
773.508223517 7
773.57892893 6
773.946412213 5
774.006396783 6
774.517318808 7
774.556871126 8
774.631817669 9
774.800447785 8
775.161232723 7
775.598860091 6
776.267664491 7
777.349451228 8
777.822286738 9
778.628608114 10
779.017806034 9
779.953165769 10
780.63543426 11
780.666332936 10
780.678872744 9
780.831540222 10
781.259831454 9
782.088774171 8
782.650752304 9
782.925930057 8
783.60319903 9
783.734148383 10
784.229550451 9
784.387327622 10
785.016978259 9
785.365010552 10
786.193234678 11
786.310226061 10
787.177933625 11
788.706595355 10
788.752432938 11
789.232776287 10
789.443707874 11
789.48291332 12
789.692263305 13
790.414611362 12
792.129921847 11
792.470595537 10
792.875018963 9
792.956753352 10
793.940826368 9
794.523128995 8
794.958996382 9
795.026619535 10
795.08776141 9
795.322073921 8
796.175095955 9
796.660831522 8
797.118147707 7
797.472298558 8
797.619046603 9
797.81590163 8
798.593638714 7
798.716877762 6
799.483380455 7
800.0369613 6
800.594221942 7
800.751907621 6
801.957517675 7
802.028265312 6
804.955846051 5
805.437436045 4
806.085423571 5
806.311844201 6
806.432134557 5
806.714741189 6
807.63689096 5
808.818490862 6
809.037959603 7
809.248884417 6
809.334167954 7
809.999002379 6
810.612817388 5
811.616570213 6
811.735551379 5
811.847466494 6
812.177413836 5
812.230681628 4
813.758573119 5
813.924459909 6
814.09509766 5
814.117600091 4
816.07820089 5
816.436411011 6
816.552459819 7
817.802798777 6
818.245862607 7
819.278908022 8
819.399233406 7
819.428717917 6
819.80266646 5
820.159222753 6
820.588749306 7
820.663145441 6
821.998956555 5
822.459368528 6
822.613788412 7
823.036074626 8
823.158212258 9
823.159125868 8
824.116568522 7
824.392274301 6
825.549920331 7
825.653094503 8
826.497737782 7
826.653748376 8
826.991636015 7
827.056780399 6
827.813484765 7
828.809293884 8
829.256397742 9
829.577078289 10
829.769290345 11
831.01673563 10
831.091439054 9
831.163111036 10
831.391604701 11
831.693407636 12
831.931329191 13
832.40043944 14
832.652839572 13
832.824081848 14
833.112090208 15
833.389887821 16
833.460705513 17
833.838889725 18
834.378337525 19
835.877906187 20
836.571933202 19
836.725194776 20
836.903460063 19
837.459763788 20
838.442516223 21
838.913806302 22
838.921115073 23
839.336579701 24
840.129359071 25
840.335141317 24
840.406021017 25
840.548204875 24
840.630672535 25
841.389624959 26
841.556005221 27
841.781632182 28
841.877119252 29
842.373895341 30
842.765156836 31
842.789179509 30
843.303763784 31
843.683181431 32
844.112911914 33
844.804181874 32
845.319624188 33
846.126113525 34
847.521181458 33
847.966037903 34
848.383914068 33
848.399312167 34
848.444920804 33
849.012955509 32
849.701771311 33
849.738369086 32
850.134893571 33
851.187881709 34
853.868063215 33
854.898703956 32
855.608606809 33
855.844534659 34
855.885870665 33
856.053820219 34
856.226750324 35
858.514765442 36
858.527968121 35
860.082547616 36
860.558956381 35
861.405089176 34
862.014488041 35
862.112265732 36
862.240682126 37
862.329277412 36
863.407192155 35
863.755152295 36
864.107985175 35
864.30131153 34
864.540545503 35
864.887196134 36
864.904693825 35
865.560851135 36
866.292254024 37
867.575941576 38
868.096802892 37
868.60831727 36
869.96754749 35
870.209789299 36
870.681434177 37
873.902092376 36
874.006952746 35
874.149379034 34
874.259649377 33
874.342245166 34
875.799065998 33
876.098957937 34
876.277264096 33
876.556127498 32
876.579406273 33
876.606787905 34
876.658011674 33
876.751012245 32
877.617503408 31
877.958910749 32
878.943217903 33
880.292248468 32
880.359063871 31
880.677243458 30
881.148640978 29
881.445367094 28
881.717780707 27
883.380804588 26
884.907024825 27
885.263812039 28
885.314579303 29
886.275261713 30
887.126714402 31
887.448348973 30
887.529057452 29
887.717300135 28
889.627408822 27
889.92767118 28
890.287947369 27
891.198442331 26
891.329770177 25
891.898288496 24
892.026632921 23
892.531854997 22
892.675830024 21
893.412824221 22
893.758110924 21
894.021127995 22
894.056297865 21
894.733716232 22
894.96385075 23
895.150165206 24
895.572517573 23
895.674731647 22
895.706242349 21
896.126765068 20
896.16996727 21
897.663722383 20
898.935742009 21
899.279221376 22
899.859995204 23
900.030085575 24
900.341647762 23
901.028302929 24
901.482525275 23
901.835616116 24
902.558003532 23
902.726162247 24
902.966418352 25
903.877665633 26
903.96350769 25
904.270010385 24
905.221979113 25
905.360831201 26
905.419200612 27
905.472983796 28
905.740133338 27
906.06879293 26
907.228272704 27
907.508892291 28
907.913098408 27
908.268684648 26
908.297287331 27
908.427121548 28
908.603345757 29
908.603501469 28
909.766937156 27
910.135852227 26
910.392211094 25
910.523528401 26
910.721281694 27
911.483796845 26
911.569734841 25
911.607947687 24
911.743951225 23
911.949463456 22
912.055335605 23
912.216192642 22
912.559801372 21
913.019656511 20
913.671050738 19
913.895553668 18
914.142683013 19
914.989895263 18
915.442764112 19
915.72986052 20
916.432226567 19
917.686069713 18
917.889671348 17
917.954809113 16
918.112515329 17
919.247972522 18
920.04791657 17
920.18617021 18
922.594010619 19
922.755388744 18
922.948463356 17
923.025669166 18
923.222989785 19
926.31010605 18
927.342922678 17
927.949390885 18
928.423539656 17
929.927370796 16
930.139643885 15
930.72451303 14
931.045500259 15
931.202181971 16
931.410620317 15
931.665269242 16
931.866821029 15
932.766126209 16
934.414617122 17
934.608672121 16
935.154164155 15
935.65344007 14
936.648174079 15
936.718332897 14
937.197022747 13
937.506085833 14
937.837942003 13
939.290402038 12
939.596582034 11
940.615898017 12
940.718150211 13
941.099850312 12
941.4604394 11
941.521790947 10
941.645933623 11
941.674517794 10
941.684128428 9
942.359042949 10
943.079357257 9
943.443522504 10
944.02439226 9
944.748824213 10
946.370698313 11
948.016285092 12
948.423349149 13
949.560774609 12
949.728920674 11
949.968710517 10
950.425682053 9
952.051802252 10
952.2281227 9
953.053006445 10
953.094597784 9
953.724155684 8
954.942769829 9
955.199800484 8
955.50011382 9
955.594079809 8
955.891313282 9
955.95317255 8
956.116545885 7
956.405275062 6
956.68568573 7
959.254425246 6
961.277901446 7
961.567892367 6
961.890467439 5
962.02665492 6
964.625971302 7
964.679677715 8
967.263417299 9
968.114242547 10
968.520336736 11
969.02758776 12
970.879802834 11
971.957183233 10
972.549242153 9
972.616958424 10
973.425548766 9
974.127885649 8
974.592957114 7
975.756817592 6
975.911523098 7
976.516103718 8
976.530071498 7
978.325558935 8
979.290176689 9
979.722322534 8
980.430614562 9
980.499872502 10
981.324039278 11
981.416290149 10
981.845220833 11
982.474669042 10
983.077153386 11
